Date,Open,High,Low,Close,Volume
14-Dec-16,797.40,804.00,794.01,797.07,1704150
13-Dec-16,793.90,804.38,793.34,796.10,2145209
12-Dec-16,785.04,791.25,784.36,789.27,2104117
9-Dec-16,780.00,789.43,779.02,789.29,1821914
8-Dec-16,772.48,778.18,767.23,776.42,1488059
7-Dec-16,761.00,771.36,755.80,771.19,1760966
6-Dec-16,764.73,768.83,757.34,759.11,1690689
5-Dec-16,757.71,763.90,752.90,762.52,1394223
2-Dec-16,744.59,754.00,743.10,750.50,1452484
1-Dec-16,757.44,759.85,737.02,747.92,3017947
30-Nov-16,770.07,772.99,754.83,758.04,2392890
29-Nov-16,771.53,778.50,768.24,770.84,1616618
28-Nov-16,760.00,779.53,759.80,768.24,2188151
25-Nov-16,764.26,765.00,760.52,761.68,587421
23-Nov-16,767.73,768.28,755.25,760.99,1478417
22-Nov-16,772.63,776.96,767.00,768.27,1593108
21-Nov-16,762.61,769.70,760.60,769.20,1330639
18-Nov-16,771.37,775.00,760.00,760.54,1547145
17-Nov-16,766.92,772.70,764.23,771.23,1286961
16-Nov-16,755.20,766.36,750.51,764.48,1472594
15-Nov-16,746.97,764.42,746.97,758.49,2384001
14-Nov-16,755.60,757.85,727.54,736.08,3654385
11-Nov-16,756.54,760.78,750.38,754.02,2431815
10-Nov-16,791.17,791.17,752.18,762.56,4745183
9-Nov-16,779.94,791.23,771.67,785.31,2607121
8-Nov-16,783.40,795.63,780.19,790.51,1366873
7-Nov-16,774.50,785.19,772.55,782.52,1585070
4-Nov-16,750.66,770.36,750.56,762.02,2134812
3-Nov-16,767.25,769.95,759.03,762.13,1943175
2-Nov-16,778.20,781.65,763.45,768.70,1918414
1-Nov-16,782.89,789.49,775.54,783.61,2406356
31-Oct-16,795.47,796.86,784.00,784.54,2427284
28-Oct-16,808.35,815.49,793.59,795.37,4269902
27-Oct-16,801.00,803.49,791.50,795.35,2749221
26-Oct-16,806.34,806.98,796.32,799.07,1647733
25-Oct-16,816.68,816.68,805.14,807.67,1576404
24-Oct-16,804.90,815.18,804.82,813.11,1697514
21-Oct-16,795.00,799.50,794.00,799.37,1266181
20-Oct-16,803.30,803.97,796.03,796.97,1757528
19-Oct-16,798.86,804.63,797.64,801.56,1766798
18-Oct-16,787.85,801.61,785.56,795.26,2056903
17-Oct-16,779.80,785.85,777.50,779.96,1092973
14-Oct-16,781.65,783.95,776.00,778.53,852487
13-Oct-16,781.22,781.22,773.00,778.19,1365277
12-Oct-16,783.76,788.13,782.06,786.14,937435
11-Oct-16,786.66,792.28,780.58,783.07,1372461
10-Oct-16,777.71,789.38,775.87,785.94,1174923
7-Oct-16,779.66,779.66,770.75,775.08,933158
6-Oct-16,779.00,780.48,775.54,776.86,1070692
5-Oct-16,779.31,782.07,775.65,776.47,1461151
4-Oct-16,776.03,778.71,772.89,776.43,1201350
3-Oct-16,774.25,776.06,769.50,772.56,1278821
30-Sep-16,776.33,780.94,774.09,777.29,1585333
29-Sep-16,781.44,785.80,774.23,775.01,1314746
28-Sep-16,777.85,781.81,774.97,781.56,1109834
27-Sep-16,775.50,785.99,774.31,783.01,1153247
26-Sep-16,782.74,782.74,773.07,774.21,1533206
23-Sep-16,786.59,788.93,784.15,786.90,1411937
22-Sep-16,780.00,789.85,778.44,787.21,1486223
21-Sep-16,772.66,777.16,768.30,776.22,1167810
20-Sep-16,769.00,773.33,768.53,771.41,978631
19-Sep-16,772.42,774.00,764.44,765.70,1172824
16-Sep-16,769.75,769.75,764.66,768.88,2049338
15-Sep-16,762.89,773.80,759.96,771.76,1346751
14-Sep-16,759.61,767.68,759.11,762.49,1094490
13-Sep-16,764.48,766.22,755.80,759.69,1395046
12-Sep-16,755.13,770.29,754.00,769.02,1310986
9-Sep-16,770.10,773.24,759.66,759.66,1885496
8-Sep-16,778.59,780.35,773.58,775.32,1270264
7-Sep-16,780.00,782.73,776.20,780.35,894021
6-Sep-16,773.45,782.00,771.00,780.08,1442822
2-Sep-16,773.01,773.92,768.41,771.46,1072658
1-Sep-16,769.25,771.02,764.30,768.78,925131
